value	comparisons	files	per_file	examples
"extra"	5	2	optimizer_core.js=1 optimizer_ui.js=4	optimizer_core.js:3665 optimizer_ui.js:737 optimizer_ui.js:3857 optimizer_ui.js:3984 optimizer_ui.js:3992
"IRMAA"	5	2	optimizer_ui.js=1 Retirement_Projection.html=4	optimizer_ui.js:4752 Retirement_Projection.html:1512 Retirement_Projection.html:1560 Retirement_Projection.html:1607 Retirement_Projection.html:1792
"auto"	5	1	optimizer_ui.js=5	optimizer_ui.js:6455 optimizer_ui.js:6483 optimizer_ui.js:6490 optimizer_ui.js:6491 optimizer_ui.js:6551
"rmd"	5	1	taxPaymentPlanner.js=5	taxPaymentPlanner.js:1037 taxPaymentPlanner.js:1038 taxPaymentPlanner.js:1079 taxPaymentPlanner.js:1687 taxPaymentPlanner.js:1696
"off"	4	3	optimizer_core.js=2 optimizer_ui.js=1 retirement_optimizer.html=1	optimizer_core.js:3445 optimizer_core.js:3485 optimizer_ui.js:679 retirement_optimizer.html:1810
"strategy"	4	1	optimizer_ui.js=4	optimizer_ui.js:2351 optimizer_ui.js:2392 optimizer_ui.js:2535 optimizer_ui.js:7715
"low"	4	2	optimizer_ui.js=1 montecarlo/rails_engine.js=3	optimizer_ui.js:5483 montecarlo/rails_engine.js:397 montecarlo/rails_engine.js:582 montecarlo/rails_engine.js:686
"mine"	4	1	optimizer_ui.js=4	optimizer_ui.js:5894 optimizer_ui.js:5895 optimizer_ui.js:5896 optimizer_ui.js:5897
"never"	4	1	optimizer_ui.js=4	optimizer_ui.js:6372 optimizer_ui.js:6411 optimizer_ui.js:6432 optimizer_ui.js:6462
"late"	4	1	optimizer_ui.js=4	optimizer_ui.js:7279 optimizer_ui.js:7284 optimizer_ui.js:8053 optimizer_ui.js:8060
"Enter"	4	2	Retirement_Projection.html=3 feedback.js=1	Retirement_Projection.html:2386 Retirement_Projection.html:2413 Retirement_Projection.html:2426 feedback.js:472
"full"	3	3	optimizer_core.js=1 optimizer_ui.js=1 taxengine.js=1	optimizer_core.js:180 optimizer_ui.js:4169 taxengine.js:1323
"SGL"	3	2	optimizer_core.js=1 standalone/IncomeTaxPlanner.html=2	optimizer_core.js:1647 standalone/IncomeTaxPlanner.html:1210 standalone/IncomeTaxPlanner.html:1467
"baseline"	3	1	optimizer_core.js=3	optimizer_core.js:1994 optimizer_core.js:2511 optimizer_core.js:2952
"fillRothThenCash"	3	1	optimizer_core.js=3	optimizer_core.js:3231 optimizer_core.js:3431 optimizer_core.js:6150
"brokerageFirst"	3	1	optimizer_core.js=3	optimizer_core.js:3282 optimizer_core.js:3284 optimizer_core.js:3561
"pct"	3	2	optimizer_core.js=1 optimizer_ui.js=2	optimizer_core.js:4048 optimizer_ui.js:6162 optimizer_ui.js:7250
"afterTaxNW"	3	1	optimizer_ui.js=3	optimizer_ui.js:2206 optimizer_ui.js:2228 optimizer_ui.js:2315
"compare"	3	2	optimizer_ui.js=2 montecarlo/mc_tab.js=1	optimizer_ui.js:2336 optimizer_ui.js:2522 montecarlo/mc_tab.js:608
"year"	3	1	optimizer_ui.js=3	optimizer_ui.js:3593 optimizer_ui.js:3602 optimizer_ui.js:7931
"-none-"	3	2	optimizer_ui.js=2 Retirement_Projection.html=1	optimizer_ui.js:3644 optimizer_ui.js:4754 Retirement_Projection.html:924
"transparent"	3	2	optimizer_ui.js=1 retirement_optimizer.html=2	optimizer_ui.js:4214 retirement_optimizer.html:42 retirement_optimizer.html:43
"high"	3	2	optimizer_ui.js=2 montecarlo/rails_engine.js=1	optimizer_ui.js:5483 optimizer_ui.js:5526 montecarlo/rails_engine.js:684
"SELECT"	3	1	optimizer_ui.js=3	optimizer_ui.js:6312 optimizer_ui.js:6794 optimizer_ui.js:7322
"Escape"	3	3	optimizer_ui.js=1 standalone/IncomeTaxPlanner.html=1 feedback.js=1	optimizer_ui.js:8891 standalone/IncomeTaxPlanner.html:1317 feedback.js:489
"Q"	3	1	taxPaymentPlanner.js=3	taxPaymentPlanner.js:871 taxPaymentPlanner.js:879 taxPaymentPlanner.js:2348
"gbm"	3	2	montecarlo/mc_tab.js=1 montecarlo/mc_engine.js=2	montecarlo/mc_tab.js:295 montecarlo/mc_engine.js:68 montecarlo/mc_engine.js:590
"mc"	3	2	montecarlo/mc_tab.js=2 montecarlo/mc_controller.js=1	montecarlo/mc_tab.js:1150 montecarlo/mc_tab.js:1169 montecarlo/mc_controller.js:46
"balances"	3	1	Retirement_Projection.html=3	Retirement_Projection.html:1472 Retirement_Projection.html:1490 Retirement_Projection.html:1491
"added"	2	2	optimizer_core.js=1 optimizer_ui.js=1	optimizer_core.js:1703 optimizer_ui.js:763
"cascade"	2	1	optimizer_core.js=2	optimizer_core.js:1993 optimizer_core.js:2511
"__objective__"	2	1	optimizer_ui.js=2	optimizer_ui.js:2210 optimizer_ui.js:2681
"rate"	2	1	optimizer_ui.js=2	optimizer_ui.js:2313 optimizer_ui.js:7930
"-"	2	1	optimizer_ui.js=2	optimizer_ui.js:3644 optimizer_ui.js:4754
"log2"	2	1	optimizer_ui.js=2	optimizer_ui.js:4625 optimizer_ui.js:5888
"net"	2	1	optimizer_ui.js=2	optimizer_ui.js:4702 optimizer_ui.js:5783
"up"	2	1	optimizer_ui.js=2	optimizer_ui.js:5823 optimizer_ui.js:5827
"│"	2	1	optimizer_ui.js=2	optimizer_ui.js:6111 optimizer_ui.js:6117
"tab-tbl"	2	1	optimizer_ui.js=2	optimizer_ui.js:6176 optimizer_ui.js:6194
"true"	2	2	optimizer_ui.js=1 RetirementTaxPlanner.html=1	optimizer_ui.js:7311 RetirementTaxPlanner.html:1132
"stratRate"	2	1	optimizer_ui.js=2	optimizer_ui.js:7730 optimizer_ui.js:7732
"Unknown"	2	1	optimizer_ui.js=2	optimizer_ui.js:7849 optimizer_ui.js:7944
"fed"	2	2	optimizer_ui.js=1 Retirement_Projection.html=1	optimizer_ui.js:9347 Retirement_Projection.html:1558
